Subject,Number,Description
AAS,100,interdisciplinary basic concepts approaches asian american studies surveys various dimensions asian american experiences history social organization literature politics
AAS,200,invites histories narratives us race empire drawing upon multiple theoretical methodological works asian american studies related fields
AAS,300,explores theories performing interdisciplinary intersectional comparative studies within field asian american studies follows multiple genealogies critical work ethnic american studies
AAS,589,individual guidance intensive readings literature subdivisions field asian american studies
ABE,128,principles biology relevant agriculture food energy environment microbiology biochemistry genetics plant animal systems ecosystems case studies engineering applications biological principles account leveraged purpose design
ABE,152,develops comprehensive understanding appreciation water impact global context emphasizes cultural practices associated water especially regions nonwestern cultures develop critical knowledge water availability water quality global challenges historical perspectives water past present future environmental sustainability relation water food energy conduct analysis cultural practices sustainability based water global context attend field trips related
ABE,225,principles environmental control biological structures psychrometrics mass heat transfer buildings ventilation requirements
ABE,226,principles bioprocess engineering applied food agricultural products material balances fluid flow heat mass transfers drying evaporation fermentation distillation process simulation
ABE,232,multidisciplinary approach infrastructure engineering alternately developed societies seeks counteract disconnects differing objectives among project stakeholders result lack infrastructure sustainability resiliency case study western africa consider impact globalization attitudes industrialized societies role placebased knowledge designing implementing infrastructure interventions rural societies
ABE,341,principles transport processes involving momentum heat mass applied biological systems agriculture food energy environment
ABE,361,design development concepts agricultural machines analysis synthesis tillage planting harvesting chemical application material handling mechanisms precision farming tools
ABE,397,individual research special problems thesis development design work supervision member
ABE,425,principles instrumentation systems sensing signal conditioning computerized data acquisition test design data analysis synthesis additional
ABE,452,projectbased experience designed engage development resilient food energy water supply chains designs disasterprone regions investigate background factors provide context specific disasterprone regions viable design solutions quantify expected engineering reliability potential solutions work local communities aid organizations peer institutions identifying resilient designs eventually seeking pathways implement solutions partner communities time project differs previous total hr
ABE,454,provides theoretical basis understanding quantifying physical hydrological geotechnical thermal properties soil relation environmental processes general soil properties porous media particle size soil structure aggregation water retention potential flow saturated soil flow unsaturated soil soil temperature heat flow soil mechanics infiltration soilplantwater relations
ABE,456,hydrology hydraulics design construction cost estimating structures conservation quality control soil water resources relationship topography soils crops climate cultural practices conservation quality control soil water agriculture
ABE,469,design projects utilize principles design engineering analysis functional operation engineering systems projects originate industry nonprofit entities federal agencies design teams develop concepts evaluate alternatives model analyze solutions build test final product emphases communication skills technical writing interaction industry representatives current engineering
ABE,483,physical properties foods biological materials properties relating equipment design sensing control food processes thermal electromagnetic radiation rheological mechanical properties status engineering
ABE,497,individual research special problems thesis development design work supervision member
ABE,498,subject developing knowledge agricultural biological engineering augment existing curriculum information
ABE,532,contextual engineering addresses loss infrastructure usability sustainability resiliency nonindustrialized societal settings often results disconnects differing objectives among stakeholders case studies technical infrastructure designs impacts globalization western attitudes power dynamics placebased knowledge explored applied infrastructure design implementation processes particularly serving rural societies application concepts conducted specific design efforts associated engineering discipline professional
ABE,597,individual investigations studies phases agricultural engineering selected advisor member supervise study
ACCY,200,survey principles accounting registered schools colleges business either
ACCY,201,develops foundation understanding analyzing accounting information generated interpreted external internal decision makers begin identifying information conveyed basic financial statements understand way information used different external decision makers focus information used management emphasis analysis facilitate guide management decision making planning control prior either remaining
ACCY,202,develops understanding accrual accounting goals objectives financial reporting information needs end users qualities useful information well financial statements financial statement elements analyze record progressively complex transactions continuing take economic event inception reporting recurring themes foundational concepts emphasized develop intuition accounting measurement reporting
ACCY,290,formalized learning experience combination practice accounting engaged internship public accounting firm business offcampus organization prior learning plan summary report learning experience subsequent open accountancy completion
ACCY,301,measurement reporting organizational performance strategic operational purposes focus variety financial nonfinancial performance measures suitable internal external decisionmaking projects together series practical workshops facilitate selfdiscovery knowledge development variety professional skills attitudes recommend accountancy
ACCY,302,develop framework better understand specific types accounting information managers need make key operational strategic decisions utilizing business case studies realworld projects also develop skills gathering visualizing statistically analyzing accounting information inform important decisions recommend accountancy
ACCY,303,measurement reporting firms liabilities shareholders equity current liabilities contingencies subsequent events bonds leases pensions equity issuance repurchase dividends equitybased compensation
ACCY,304,explores important framework highlights vital roles accounting control systems play shaping implementing organizational strategy components framework internal controls organizational missions values codes ethics performance measurement evaluation reward systems case studies discussions group exercises field research projects emphasize critical reasoning data analytics teamwork written oral communication
ACCY,312,united states federal income tax system emphasis income tax determination taxation property transactions tax environment tax provisions relevant businesses employees business owners projects facilitate selfdiscovery knowledge development variety professional skills attitudes
ACCY,375,career pathways accountancy enrichment explore accountingrelated career paths build skills success connect accountancy professionals goal cpa accelerate learning providing experiences connect classroom realworld accounting related careers early stages deciding specific career interviewing internships fulltime positions gies business accountancy accountancy ds intention declare accountancy
ACCY,398,covers professional standards relating corporate financial reporting taxation auditing public sector reporting serves review uniform certified public accountant cpa examination towards requirements bs accountancy mas msa programs uiuc programs demonstrate financial accounting beyond introductory costmanagerial accounting beyond introductory auditing taxation
ACCY,405,conceptual diverse means assurers improve quality information used third parties contracting purposes emphases credibility relevanceenhancement properties assurers services economics assurance attestation concepts independence risk evidence control projects facilitate selfdiscovery knowledge development professional skills attitudes
ACCY,410,current authoritative accounting standards applications accounting practice represent full range financial reporting issues selected based relevance underlying business transaction complexity topic consistency applicable standard underlying reporting concepts transferability standard accounting issues toward graduation
ACCY,449,tax action allows gain handson experience providing valuable service community internal revenue services volunteer income tax assistance vita participate training certification irs vita prepare tax returns members community taking two serve team leads responsible quality review progress team toward goals deadlines training communication either accountancy master accounting science master science accountancy programs
ACCY,451,us federal taxation business entities taxable corporations flow entities partnerships subchapter corporations limited liability companies practical problems facilitate selfdiscovery technical tax knowledge development data analysis skills
ACCY,499,research readings majoring accountancy honors partial fulfillment honors requirements cumulative gradepoint average honors year
ACCY,500,managerial perspective nature role accounting organizational measurement reporting control processes professional nonaccountancy masters business
ACCY,501,addresses conceptual framework financial statementsbalance sheet income statement statement cash flows also provides indepth analysis accounting issues related measurement recognition disclosure current noncurrent assets revenue recognition professional imsa online complete first part content part complete remainder second part b
ACCY,502,measurement reporting firms liabilities shareholders equity contingencies subsequent events bonds leases deferred taxes pensions equity transactions earning share professional imsa online complete first part content part complete remainder second part b
ACCY,503,management accounting principles used facilitate align internal decisions made managers employees analytical tools techniques address common business problems cost information systems budgeting strategic performance measurement systems professional imsa online complete first part content part complete remainder second part b
ACCY,506,covers current authoritative accounting standards applications accounting practice accounting business combinations preparation consolidated financial statements advanced financial reporting professional toward graduation
ACCY,507,provides us federal income tax treatment corporations passthrough entities subchapter corporations partnerships limited liability companies professional imsa online complete first part content part complete remainder second part b
ACCY,510,stakeholders needs reliable relevant information performance firms well managers economic selfinterests influence managers selection accounting policies financial reporting methods selectively surveys academic research professional standards focus measurement classification disclosure financial transactions cases discussion research projects emphasize independent thinking group processes communication professional bsmas accountancy
ACCY,512,data analytics incorporated management decision making planning cost management management control system design focuses developing skills gathering analyzing data internal decision making purposes professional accounting
ACCY,515,role professional ethical standards conduct auditing assurance services role auditing assurance services corporate governance capital markets selectively surveys academic professional literature focus conduct auditing assurance services cases discussion group projects data analytics tableau emphasize importance critical thinking group processes communication professional accounting practice realworld scenarios assist implementing auditing standards professional bsms accountancy
ACCY,516,covers key principles accountants professional responsibility jobs organizations careers adopts theoretical practical perspectives role ethics morals within accounting discipline begins general overview key constructs principles various philosophies variety disciplines cultures next provides historical perspective instances accountingrelated failures successes area professional responsibility ethics historical perspective provides underlying reasoning many contemporary codes conduct ethics professional guidelines variety experiential learning opportunities help explore develop perspective ethics morals principles affect professional roles responsibilities choices professional
ACCY,517,tools techniques financial statement analysis company valuation perspective investors creditors emphasizes theoretical empirical properties financial ratios well valuation methods used practice professional imsa online complete first part content part complete remainder second part b
ACCY,518,fraud examination emphasis financial statement fraud provides comprehensive fraud examination addressed unique characteristics fraud examinations comparison financial statement audits characteristics possessed fraud examiners overview fraud examination process nature extent fraud taxonomy financial statement frauds techniques evidence collection interview techniques benfords development fraud reports professional accounting mas msa accountancyuiuc
ACCY,519,governmental nonprofit accounting experience indepth study governmental nonprofit accounting practices focusing financial reporting budgeting fund accounting gain comprehensive understanding unique accounting principles regulations applicable public nonprofit sectors take deep dive specialized within nonprofit governmental accounting emphasize advanced research various knowledgebase sources critical analysis additionally involves independent research require knowledge gained end know create analyze financial transactions governmental nonprofit entities professional toward graduation online master science accountancy imsa
ACCY,550,state local tax laws prevalent united states today consider historical progression state local taxation power states tax limitations power planning strategies minimizing impact state local taxation income taxes emphasized however taxes sales taxes property taxes discussed professional accounting
ACCY,551,analyzes tax treatment problems planning techniques underlying governmental policies involving corporations shareholders coverage formations operations distributions liquidations reorganizations affiliations professional
ACCY,552,analyzes tax treatment problems planning techniques underlying governmental policies involving partnerships partners subchapter corporations shareholders professional
ACCY,554,analyzes tax treatment issues planning techniques underlying government policies involved business internationally incorporates concepts learned tax relate impact cross border outbound transactions taxation us taxpayers business abroad source income transfer pricing controlled foreign corporations cfcs subpart f income foreign tax credits global intangible lowtaxed income gilti base erosion antiabuse tax beat foreign derived intangible income fdii focuses heavily outbound transactions inbound rules nonus taxpayers business united states discussed professional accounting
ACCY,570,concepts foundations underlying data analytics accounting provides fundamental knowledge acquire organize synthesize analyze possibly large volumes data address questions problems completing foundational understanding techniques underlying data analytics recognize scenarios identify appropriate tools various types data analysis python tableau perform data analysis professional imsa online complete first part content part complete remainder second part b accounting
ACCY,571,fundamental knowledge perform statistical analyses useful leveraging accounting information solve business problems completing foundational understanding statistical analyses underlying data analytics recognize scenarios identify appropriate statistical tools various types data analysis common computerbased tools perform statistical analyses professional imsa online complete first part content part complete remainder second part b accounting
ACCY,574,decision making analytic approaches help organizations navigate disruptive changes practices technology regulation culture serve stakeholders customers employees investors public content focuses identifying quantifying risks balancing achieving consistent measurable outcomes delivering stakeholderdriven objectives cases experiential learning emphasize developing tools translate data insights tie insights managing stakeholder interests communicating insights decision makers professional mas msa
