Subject Code,Course Title,Description
Business,Cyber Management and Policy Capstone,protect organizations critical information assets ethically integrating cybersecurity best practices risk management throughout enterprise implement continuous monitoring provide realtime security solutions analyze advanced persistent threats deploy countermeasures conduct risk vulnerability assessments planned installed information systems formulate update communicate short longterm organizational cybersecurity strategies policies
Business,Financial Statement Analysis,calculate interpret range accounting ratios financial statements large companies appreciate complex nature real life financial statement ratio calculations role draw upon strategic competitive sustainability context business interpreting businesss financial statements effectively interpret financial statements perspective forwardlooking information needs different stakeholders range factors indicate quality reliability financial statement information appreciate various sources data may useful analysing position performance future prospects firm analysing problem options data order predict future outcomes persuasion change anothers point view sharing information knowledge helps others succeed demonstrating awareness social environmental responsibility adding value showing understanding stakeholder needs
Political Science,U.S. Government,wellrounded knowledge united states government politics understanding political scientists analyze interpret foundations institutions processes actors constitute united states government politics critical thought united states government politics define fundamental concepts associated american politics describe structure function differing branches american government explain theoretical historical underpinnings us constitution explain individuals participate american political system comprehend civil rights civil liberties afforded american citizens historical development influence mass media sociopolitical movements interest groups corporations political parties campaigns elections american politics
Political Science,"Climate Policy, Justice and Society",describe history international climate agreements politics shaped evolution critically analyse innovations governance characterised global climate change regime sought respond manged key complexities political imperatives competing interests critically evaluate various dimensions justice involved climate regime respective roles climate policy development critically evaluate theories policy approaches climate governance international development research critical engagement literature
Political Science,Intro to Conflict Studies,familiar founding scholars historical development conflict studies gained interdisciplinary insights causes conflict gained interdisciplinary insights governance conflict gained interdisciplinary insights possible conflict interventions good understanding central conflict analysis models correctly conduct first stages conflict analysis developed writing presentation critically assess conflict case studies relevant theories field conflict studies
Political Science,American Government,extent christian influence underlying principles us constitution way recent supreme court rulings limited influence apply christian principles general practices effectively engaging people different social andor cultural backgrounds main provisions us constitution meaning important constitutional provisions constitutional powers granted branch government characteristics liberalism conservatism differentiate formal informal changes made constitution ways citizens effectively participate political process main features worldview assessing cultural political economic industrial implications relate government andor culture various aspects life relate human experience within various civic global structures participation redemptive work god main features worldview assessing cultural political economic industrial implications relate government andor culture various aspects life apply christian principles general practices effectively engaging people different social andor cultural backgrounds describe impact persons global perspective evangelism crosscultural engagement relate human experience within various civic global structures participation redemptive work god
Political Science,Politics of Western Europe,good knowledge structure operation european representative institutions good knowledge implications european institutions political policy outcomes knowledge european institutions implications think analytically current european politics knowledge european institutions implications think critically political policy issues european democracies
Political Science,Politics & Policy of Public Sector Budgeting,analyze various practical theoretical influences impact public sector budgeting evaluate influence politics policy various aspects public sector budgeting apply knowledge literature study public sector budgeting synthesize judeochristian worldview aspects public sector budgeting
Political Science,Analytical Approaches For International Studies,greater understanding competing social scientific approaches knowledge distinguish different approaches knowledge social sciences critically evaluate assumptions arguments approaches based gain familiarity range quantitative qualitative methods data collection commonly used social sciences critically assess strengths limitations different methods relation addressing specific research agendas practical research including ability collect synthesize analyze scholarship primary data international studies accordance established standards scientific rigor ethics practice designing research project gain familiarity standards practices ethical human subjects ability communicate ideas global problems clearly effectively diverse audiences learn write research prospectus proposal practice making clear concise oral presentations argument
Political Science,Federal Government,explain origin development constitutional democracy united states knowledge federal system describe separation powers checks balances theory practice knowledge legislative executive judicial branches federal government evaluate role public opinion interest groups political parties political system analyze election process describe rights responsibilities citizens analyze issues policies us politics express oneself precision clarity whether orally writing student effectively convey information verbally writing andor visually student explore analyze evaluate issues documents circumstances reaching conclusion student generate frame analyze data make informed conclusions student flexible resourceful team member looks different points view works others support shared purpose goal student connect personal choices actions consequences commitment excellence success student build rapport establish competence within diverse multicultural settings student create artistic technical demonstrations means selfexpression language technology andor learned student maintain productive work environment confidently motivate others meet high performance standards
