Subject Code,Course Title,Description
Business,Cyber Management and Policy Capstone,"Protect An Organization's Critical Information And Assets By Ethically Integrating Cybersecurity Best Practices And Risk Management Throughout An Enterprise
Implement Continuous Monitoring And Provide Real-Time Security Solutions
Analyze Advanced Persistent Threats And Deploy Countermeasures, And Conduct Risk And Vulnerability Assessments Of Planned And Installed Information Systems
Formulate, Update, And Communicate Short- And Long-Term Organizational Cybersecurity Strategies And Policies"
Business,Financial Statement Analysis,"Calculate And Interpret A Range Of Accounting Ratios From The Financial Statements Of Large Companies;
Appreciate The Complex Nature Of Real Life Financial Statement Ratio Calculations;
Understand The Role Of, And Draw Upon, The Strategic (Competitive And Sustainability) Context Of A Business In Interpreting That Business's Financial Statements;
Effectively Interpret Financial Statements From The Perspective Of The Forward-Looking Information Needs Of Different Stakeholders;
Understand A Range Of Factors That Can Indicate The Quality And Reliability Of Financial Statement Information;
Appreciate The Various Sources Of Data That May Be Useful In Analysing The Position, Performance And Future Prospects Of A Firm;
Analysing A Problem And Identify All Options
Using Data In Order To Predict Future Outcomes
Use Persuasion To Change Another's Point Of View And Sharing Information And Knowledge That Helps Others Succeed
Demonstrating An Awareness Of Social And Environmental Responsibility - Adding Value - Showing An Understanding Of Stakeholder Needs."
Political Science,U.S. Government,"Demonstrate A Well-Rounded Knowledge Of The United States Government And Politics
Demonstrate An Understanding Of How Political Scientists Analyze And Interpret The Foundations, Institutions, Processes, And Actors That Constitute The United States Government And Politics;
Demonstrate Critical Thought About The United States Government And Politics.
Define Fundamental Concepts Associated With American Politics
Describe The Structure And Function Of The Differing Branches Of American Government
Explain The Theoretical And Historical Underpinnings Of The U.S. Constitution
Explain How Individuals Participate In The American Political System
Comprehend The Civil Rights And Civil Liberties Afforded To American Citizens And This Historical Development
Identify The Influence Of Mass Media, Socio-Political Movements, Interest Groups, Corporations, Political Parties, Campaigns And Elections Have On American Politics."
Political Science,"Climate Policy, Justice and Society","Describe The History Of International Climate Agreements And The Politics That Shaped Their Evolution,
Critically Analyse The Innovations In Governance That Have Characterised The Global Climate Change Regime As It Sought To Respond To And Manged Key Complexities, Political Imperatives And Competing Interests,
Critically Evaluate The Various Dimensions Of Justice Involved In The Climate Regime And Their Respective Roles In Climate Policy Development
Critically Evaluate The Theories And Policy Approaches To Climate Governance And International Development,
Demonstrate Research Skills And A Critical Engagement With Literature."
Political Science,Intro to Conflict Studies,"Be Familiar With The Founding Scholars And Historical Development Of Conflict Studies
Have Gained Interdisciplinary Insights Into The Causes Of Conflict;
Have Gained Interdisciplinary Insights Into The Governance Of Conflict
Have Gained Interdisciplinary Insights Into Possible Conflict Interventions
Have A Good Understanding Of Central Conflict Analysis Models
Be Able To Correctly Conduct The First Stages Of A Conflict Analysis
Have (Further) Developed Their Writing And Presentation Skills
Be Able To Critically Assess Conflict Case Studies Using Relevant Theories From The Field Of Conflict Studies."
Political Science,American Government,"Identify The Extent Of Christian Influence On The Underlying Principles Of The US Constitution And The Way Recent Supreme Court Rulings Have Limited This Influence.
Apply The Christian Principles And General Practices For Effectively Engaging People From Different Social And/Or Cultural Backgrounds.
Identify The Main Provisions Of The US Constitution, The Meaning Of Important Constitutional Provisions, And The Constitutional Powers Granted To Each Branch Of Government.
Identify Characteristics Of Liberalism And Conservatism.
Differentiate Between Formal And Informal Changes Made To The Constitution.
Identify Ways In Which Citizens Can Effectively Participate In The Political Process.
Identify The Main Features Of A Worldview Assessing Cultural Political Economic And Industrial Implications.
Relate Government And/Or Culture To Various Aspects Of Life.
Relate The Human Experience Within Various Civic And Global Structures To Participation In The Redemptive Work Of God.
Identify The Main Features Of A Worldview, Assessing The Cultural, Political, Economic, And Industrial Implications.
Relate Government And/Or Culture To Various Aspects Of Life.
Apply The Christian Principles And General Practices For Effectively Engaging People From Different Social And/Or Cultural Backgrounds.
Describe The Impact Of A Person’s Global Perspective On Evangelism And Cross-Cultural Engagement.
Relate The Human Experience Within Various Civic And Global Structures To Participation In The Redemptive Work Of God."
Political Science,Politics of Western Europe,"Have Good Knowledge Of The Structure And Operation Of European Representative Institutions
Have Good Knowledge Of The Implications Of European Institutions For Political And Policy Outcomes
Use Your Knowledge On European Institutions And Their Implications To Think Analytically On Current European Politics
Use Your Knowledge Of European Institutions And Their Implications To Think Critically On Political And Policy Issues In European Democracies"
Political Science,Politics & Policy of Public Sector Budgeting,"Analyze Various Practical And Theoretical Influences That Impact Public Sector Budgeting.
Evaluate The Influence Of Politics And Policy On Various Aspects Of Public Sector Budgeting.
Apply Knowledge Of The Literature To The Study Of Public Sector Budgeting.
Synthesize A Judeo-Christian Worldview With Aspects Of Public Sector Budgeting."
Political Science,Analytical Approaches For International Studies,"Develop Greater Understanding Of Competing Social Scientific Approaches To Knowledge
Distinguish Between Different Approaches To Knowledge In The Social Sciences, And Critically Evaluate The Assumptions And Arguments On Which These Approaches Are Based
Gain Familiarity With A Range Of Quantitative And Qualitative Methods Of Data Collection Commonly Used In The Social Sciences
Critically Assess The Strengths And Limitations Of Different Methods In Relation To Addressing Specific Research Agendas
Develop Practical Research Skills, Including Ability To Collect, Synthesize, And Analyze Scholarship And Primary Data In International Studies, In Accordance With Established Standards Of Scientific Rigor And Ethics
Practice Designing A Research Project
Gain Familiarity With Standards And Practices Of Ethical Human Subjects
Develop The Ability To Communicate Ideas About Global Problems Clearly And Effectively To Diverse Audiences
Learn To Write A Research Prospectus Or Proposal
Practice Making Clear And Concise Oral Presentations Of An Argument"
Political Science,Federal Government,"Explain The Origin And Development Of Constitutional Democracy In The United States.
Demonstrate Knowledge Of The Federal System.
Describe Separation Of Powers And Checks And Balances In Both Theory And Practice.
Demonstrate Knowledge Of The Legislative, Executive, And Judicial Branches Of The Federal Government.
Evaluate The Role Of Public Opinion, Interest Groups, And Political Parties In The Political System.
Analyze The Election Process.
Describe The Rights And Responsibilities Of Citizens.
Analyze Issues And Policies In U.S. Politics.
Express Oneself With Precision And Clarity, Whether Orally Or In Writing.
A Student Will Effectively Convey And Understand Information Verbally, In Writing, And/Or Visually.
A Student Will Explore, Identify, Analyze, And Evaluate Issues, Documents, And Circumstances Before Reaching A Conclusion.
A Student Will Generate, Frame, And Analyze Data To Make Informed Conclusions.
A Student Will Be A Flexible And Resourceful Team Member Who Looks At Different Points Of View And Works With Others To Support A Shared Purpose Or Goal.
A Student Will Connect Personal Choices, Actions And Consequences, With A Commitment To Excellence And Success.
A Student Will Build Rapport And Establish Competence Within Diverse Multicultural Settings.
A Student Will Create Artistic Or Technical Demonstrations Through The Means Of Self-Expression, Language, Technology, And/Or Learned Skills.
A Student Will Maintain A Productive Work Environment And Confidently Motivate Others To Meet High Performance Standards."
